# Constructed from biom file							
#OTU ID	CL1	CL3	CL2	CP1	CP2	CP3	taxonomy
denovo24887	0	0	0	0	13	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
denovo8575	12	0	0	1	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae
denovo24539	2	4	3	1	1	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo1122	0	0	0	8	5	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo12913	0	0	0	9	2	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo6135	1	0	0	4	6	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8822	0	0	0	10	1	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8076	1	0	0	11	0	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo4644	1	0	1	3	7	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo23914	0	0	4	1	6	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo5517	0	0	0	0	11	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo1917	0	0	0	5	7	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo13231	5	0	0	2	2	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo2782	0	0	0	2	11	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo57366	0	7	6	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo14768	3	0	1	2	2	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo22112	0	1	0	0	8	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo10660	0	1	0	1	1	10	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo6170	0	2	1	2	6	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo33448	13	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo7040	1	1	2	2	4	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo2724	0	1	0	5	5	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo52554	0	7	0	6	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo14815	1	0	0	9	0	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo6987	0	0	0	0	13	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo5958	0	0	0	0	13	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo10308	0	0	1	7	0	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo49739	0	5	1	7	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo34953	3	1	7	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo1718	1	0	3	3	5	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo66133	0	13	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo15230	1	0	0	0	2	10	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo1469	0	1	1	5	4	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo33858	11	0	2	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo12757	0	0	0	13	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo10367	0	0	0	13	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo2343	0	1	1	6	5	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo6500	0	0	0	0	13	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo23342	0	1	0	0	12	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo25888	0	8	0	0	0	5	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
denovo5811	0	1	0	0	12	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
denovo31843	2	2	10	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas
denovo276	0	0	0	14	0	0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-1
denovo13800	0	14	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
denovo56975	0	10	2	2	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo12173	1	0	1	0	2	10	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo20295	0	1	0	0	3	10	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo10497	0	0	0	13	1	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo58529	0	12	2	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo28423	0	0	3	0	1	10	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo21810	7	0	1	0	2	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo13660	1	1	2	3	1	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo14366	1	1	1	4	2	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo25220	1	2	1	0	7	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo32791	8	1	5	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo41495	9	1	3	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo9936	3	0	1	3	3	4	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo59521	0	9	5	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo38907	11	1	1	1	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo14835	1	2	4	4	1	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo58097	0	14	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8409	2	0	1	4	2	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo31920	14	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8297	0	0	0	12	0	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo6865	0	0	0	0	14	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo23988	1	2	0	0	10	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8006	2	0	0	6	0	6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo15091	0	0	2	7	0	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo29010	0	0	0	0	0	14	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8841	3	0	1	7	0	3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8670	1	2	1	4	1	5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo19786	1	2	1	1	2	7	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo7048	2	0	0	6	4	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo1715	0	0	0	13	1	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo8030	0	0	0	14	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo13836	0	0	0	13	0	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo20620	1	1	0	0	1	11	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
denovo4020	0	0	1	0	12	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
