OTU	Test-Statistic	P	FDR_P	Bonferroni_P	11_mean	1.5_mean	taxonomy
denovo65392	76.02134809	0	0	0	0	55.33333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo65392
denovo37811	79.25578593	0	0	0	0	57.66666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo37811
denovo59661	85.26264839	0	0	0	0	62	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo59661
denovo62622	74.20486989	0	0	0	1	60.33333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo62622
denovo66584	96.81444902	0	0	0	0	70.33333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo66584
denovo18638	93.52895101	0	0	0	70.66666667	0.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo18638
denovo60092	109.2905467	0	0	0	0	79.33333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo60092
denovo61746	99.35777029	0	0	0	0.666666667	77	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo61746
denovo58680	130.2755004	0	0	0	0.333333333	97.33333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo58680
denovo65809	140.2501718	0	0	0	0	101.6666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo65809
denovo61497	136.2528193	0	0	0	0.333333333	101.6666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo61497
denovo40805	70.01459482	1.11E-16	6.19E-15	8.05E-14	0	51	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo40805
denovo61530	69.32261514	1.11E-16	6.19E-15	8.05E-14	0.666666667	55	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo61530
denovo14269	62.90524604	2.22E-15	1.15E-13	1.61E-12	56.33333333	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo14269
denovo25545	61.71451337	4.00E-15	1.93E-13	2.90E-12	58	2.666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo25545
denovo5318	58.2634202	2.30E-14	9.80E-13	1.67E-11	45	0.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo5318
denovo61459	58.2634202	2.30E-14	9.80E-13	1.67E-11	0.333333333	45	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo61459
denovo38328	57.077337	4.19E-14	1.69E-12	3.03E-11	0	41.66666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo38328
denovo60628	53.99893285	2.01E-13	7.66E-12	1.45E-10	1	45.33333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales_denovo60628
