OTU	Test-Statistic	P	FDR_P	Bonferroni_P	11_mean	1.5_mean	taxonomy
denovo7	326.4737875	0	0	0	236	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
denovo12	232.6719629	0	0	0	207	7.333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__plantarum
denovo2	798.3868891	0	0	0	600.6666667	3	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo10	381.1596081	0	0	0	324.6666667	8.666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__schindleri
denovo7117	60.31159288	8.10E-15	1.26E-13	6.32E-13	44	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo4618	58.53097131	2.00E-14	2.60E-13	1.56E-12	53	2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
denovo74	53.38110692	2.75E-13	3.06E-12	2.14E-11	39	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium
denovo78	52.91908347	3.48E-13	3.39E-12	2.71E-11	38.66666667	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
denovo127	48.76093438	2.89E-12	2.51E-11	2.26E-10	0	35.66666667	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira
denovo172	48.2989254	3.66E-12	2.85E-11	2.85E-10	0	35.33333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__marcescens
denovo59944	44.14092604	3.06E-11	2.17E-10	2.38E-09	0	32.33333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
denovo22	43.37801818	4.51E-11	2.93E-10	3.52E-09	75.66666667	15.33333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus
denovo16266	39.52113755	3.25E-10	1.95E-09	2.53E-08	29	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
denovo246	30.28260529	3.73E-08	2.08E-07	2.91E-06	22.33333333	0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales
denovo37260	29.82073203	4.74E-08	2.46E-07	3.70E-06	0	22	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
denovo182	27.97330984	1.23E-07	5.64E-07	9.59E-06	0	20.66666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
denovo22973	27.97330984	1.23E-07	5.64E-07	9.59E-06	20.66666667	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo24496	27.82258852	1.33E-07	5.76E-07	1.04E-05	28	1.666666667	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo14192	26.62826252	2.47E-07	1.01E-06	1.92E-05	33	3.666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
denovo296	22.89366116	1.71E-06	6.68E-06	0.000133548	17	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans
denovo24564	21.49699061	3.54E-06	1.32E-05	0.00027642	18	0.333333333	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo168	20.12362782	7.26E-06	2.36E-05	0.000566236	15	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae
denovo4998	20.12362782	7.26E-06	2.36E-05	0.000566236	15	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
denovo6243	20.12362782	7.26E-06	2.36E-05	0.000566236	15	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo23266	17.92039545	2.30E-05	7.19E-05	0.001796648	15.33333333	0.333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__schindleri
denovo262	15.50877253	8.21E-05	0.00024637	0.006405613	11.66666667	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae
denovo6455	15.04747682	0.00010484	0.000302872	0.008177545	11.33333333	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo144	14.65912031	0.00012881	0.000348113	0.010047168	1.666666667	17.33333333	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus
denovo4901	14.58622763	0.00013389	0.000348113	0.010443382	11	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
denovo2741	14.58622763	0.00013389	0.000348113	0.010443382	11	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
denovo19833	14.12502911	0.000171053	0.000416941	0.013342101	10.66666667	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae
denovo23188	14.12502911	0.000171053	0.000416941	0.013342101	10.66666667	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
denovo239	13.20280344	0.000279531	0.000641276	0.021803392	0	10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus
denovo7612	13.20280344	0.000279531	0.000641276	0.021803392	10	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
denovo98	11.86773346	0.000571149	0.001269632	0.044549606	12	0.666666667	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
denovo631	11.8199835	0.000585984	0.001269632	0.045706736	9	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
denovo7060	11.35921198	0.000750747	0.001541006	0.058558243	8.666666667	0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
