Taxonomy	Facet	Shallow1	Shallow2	Shallow3	Deep1	Deep2	Deep3
g__Corynebacterium	Rickettsiales + Others	3.57E-05	3.57E-05	0.000321429	0.00025	0.000142857	0.00025
f__Micrococcaceae	Rickettsiales + Others	0	0	0	0	0.000535714	0
g__Mycobacterium	Rickettsiales + Others	3.57E-05	0	0	3.57E-05	0.000714286	3.57E-05
g__Porphyromonas	Rickettsiales + Others	3.57E-05	0.000357143	7.14E-05	0	0	0
g__Prevotella	Rickettsiales + Others	0	7.14E-05	0	0.001214286	3.57E-05	0
f__Cryomorphaceae	Rickettsiales + Others	0	0	0	0	0.001571429	0
g__Flavobacterium	Rickettsiales + Others	0	0	0	0	0.000321429	0.0015
g__Bacillus	Rickettsiales + Others	0	0	3.57E-05	0	0.03175	0.001535714
f__Gemellaceae	Rickettsiales + Others	0.000428571	0	0	3.57E-05	0	0
g__Lactobacillus	Rickettsiales + Others	7.14E-05	0.000178571	0.000678571	3.57E-05	0.008178571	0.013892857
g__Lactococcus	Rickettsiales + Others	0.001142857	0	0	0	0	0
g__Streptococcus	Rickettsiales + Others	0.00075	0.001464286	0.004107143	0.001857143	0.000357143	0.001714286
f__Peptostreptococcaceae	Rickettsiales + Others	0.000892857	0.000321429	0	0.000464286	0	0
f__Ruminococcaceae	Rickettsiales + Others	0	0	0	0.000642857	0	0
g__Anaerococcus	Rickettsiales + Others	0	0	0.001857143	0.000142857	3.57E-05	0
c__Gemm-1	Rickettsiales + Others	0	0	0	0.0005	0	0
g__Nitrospira	Rickettsiales + Others	0	0	0.004035714	0	0	0
o__Phycisphaerales	Rickettsiales + Others	0	0	0	0	0.002285714	0.000142857
f__Pirellulaceae	Rickettsiales + Others	0.000714286	0	0	0	0	0
c__Alphaproteobacteria	Rickettsiales + Others	0.000642857	0.001107143	0	0.000357143	0	0
g__Bradyrhizobium	Rickettsiales + Others	0	0	0	0.000392857	0.001357143	0.002285714
f__Hyphomicrobiaceae	Rickettsiales + Others	0	0	0	0	0	0.007285714
f__Rhodobacteraceae	Rickettsiales + Others	0.00075	0.000607143	0.006535714	0.001928571	0	0
f__Rhodospirillaceae	Rickettsiales + Others	0	0	0	3.57E-05	0.000928571	3.57E-05
o__Rickettsiales	Rickettsiales + Others	0.992785714	0.995	0.967964286	0.988285714	0.82575	0.950607143
f__Erythrobacteraceae	Rickettsiales + Others	0	0	0	0	0.00025	0.002107143
f__Comamonadaceae	Rickettsiales + Others	0	0.000214286	0.002321429	0.000392857	0	0.000714286
g__Paucibacter	Rickettsiales + Others	3.57E-05	0	0.003071429	0.000178571	0.000321429	0.000964286
f__Oxalobacteraceae	Rickettsiales + Others	0	0	0.000142857	3.57E-05	0.001035714	7.14E-05
o__Myxococcales	Rickettsiales + Others	0	0.000178571	0.000107143	0.000535714	0.001178571	0.000107143
o__Campylobacterales	Rickettsiales + Others	3.57E-05	7.14E-05	0.000571429	0.00075	0.080357143	0.003321429
f__Enterobacteriaceae	Rickettsiales + Others	0	0	0.0005	0	0	0
g__Serratia	Rickettsiales + Others	0	0.000142857	0.003535714	0	0	0
g__Haemophilus	Rickettsiales + Others	0.0015	0.00025	0	0.001142857	3.57E-05	0.006642857
g__Acinetobacter	Rickettsiales + Others	0.000142857	0	0.002035714	0.000214286	0.042857143	0.006785714
f__Pseudomonadaceae	Rickettsiales + Others	0	0	0.000535714	0	0	0
g__Pseudomonas	Rickettsiales + Others	0	0	0.001571429	0	0	0
g__DA101	Rickettsiales + Others	0	0	0	0.000571429	0	0
g__Corynebacterium	Others	0.004950495	0.007142857	0.010033445	0.021341463	0.00081984	0.005061461
f__Micrococcaceae	Others	0	0	0	0	0.0030744	0
g__Mycobacterium	Others	0.004950495	0	0	0.00304878	0.004099201	0.000723066
g__Porphyromonas	Others	0.004950495	0.071428571	0.002229654	0	0	0
g__Prevotella	Others	0	0.014285714	0	0.103658537	0.00020496	0
f__Cryomorphaceae	Others	0	0	0	0	0.009018241	0
g__Flavobacterium	Others	0	0	0	0	0.00184464	0.030368764
g__Bacillus	Others	0	0	0.001114827	0	0.182209469	0.031091829
f__Gemellaceae	Others	0.059405941	0	0	0.00304878	0	0
g__Lactobacillus	Others	0.00990099	0.035714286	0.021181717	0.00304878	0.046935848	0.281272596
g__Lactococcus	Others	0.158415842	0	0	0	0	0
g__Streptococcus	Others	0.103960396	0.292857143	0.128205128	0.158536585	0.0020496	0.034707158
f__Peptostreptococcaceae	Others	0.123762376	0.064285714	0	0.039634146	0	0
f__Ruminococcaceae	Others	0	0	0	0.054878049	0	0
g__Anaerococcus	Others	0	0	0.057971014	0.012195122	0.00020496	0
c__Gemm-1	Others	0	0	0	0.042682927	0	0
g__Nitrospira	Others	0	0	0.125975474	0	0	0
o__Phycisphaerales	Others	0	0	0	0	0.013117442	0.002892263
f__Pirellulaceae	Others	0.099009901	0	0	0	0	0
c__Alphaproteobacteria	Others	0.089108911	0.221428571	0	0.030487805	0	0
g__Bradyrhizobium	Others	0	0	0	0.033536585	0.007788481	0.046276211
f__Hyphomicrobiaceae	Others	0	0	0	0	0	0.147505423
f__Rhodobacteraceae	Others	0.103960396	0.121428571	0.204013378	0.164634146	0	0
f__Rhodospirillaceae	Others	0	0	0	0.00304878	0.005328961	0.000723066
f__Erythrobacteraceae	Others	0	0	0	0	0.00143472	0.042660882
f__Comamonadaceae	Others	0	0.042857143	0.072463768	0.033536585	0	0.014461316
g__Paucibacter	Others	0.004950495	0	0.095875139	0.015243902	0.00184464	0.019522777
f__Oxalobacteraceae	Others	0	0	0.004459309	0.00304878	0.005943841	0.001446132
o__Myxococcales	Others	0	0.035714286	0.003344482	0.045731707	0.006763681	0.002169197
o__Campylobacterales	Others	0.004950495	0.014285714	0.017837235	0.06402439	0.461160074	0.067245119
f__Enterobacteriaceae	Others	0	0	0.015607581	0	0	0
g__Serratia	Others	0	0.028571429	0.110367893	0	0	0
g__Haemophilus	Others	0.207920792	0.05	0	0.097560976	0.00020496	0.134490239
g__Acinetobacter	Others	0.01980198	0	0.063545151	0.018292683	0.245952039	0.137382502
f__Pseudomonadaceae	Others	0	0	0.016722408	0	0	0
g__Pseudomonas	Others	0	0	0.049052397	0	0	0
g__DA101	Others	0	0	0	0.048780488	0	0
